UPSTAIRS INVENTORY ,Unnamed: 1,SEPT,2024-09-01 00:00:00,Unnamed: 4
,,,,
,,COST/BTL,COUNT,AMOUNT
REYES  BEVERAGE,,,,
,Blantons,47.5,2.7,128.25
,Kupu Bourbon,36,1,36
,Buffalo Trace,28,4,112
40726,Guinness Draft ,161,0.4,64.4
,Heineken bt,1.31,14,18.34
,Heineken light bt,1.31,94,123.14
,Heineken zero bt,1.13,144,162.72
,Corona,1.32,112,147.84
Reyes Beverage Total:,,,,792.69
,,,,
SOUTHERN GLAZERS OF HI,,,,
77530,Absenthe Liqueur,37.29,0.5,18.65
365128,Akashi Whiskey Blend,37.83,1,37.83
430016,Ancho Reyes Chile Liq,26.87,1.9,51.05
38000,Angostura Bitters,23.25,7,162.75
198448,Acrobat Pinot Gris,10.75,15,161.25
450124,Aperol Aperitivo,30.67,0.1,3.07
,Au Bon Climat SB Pinot Noir,17,8.2,139.4
166117,Averna Amaro,30.73,2.7,82.97
333018,Baileys Irish Cream,37.39,1.5,56.09
,Busnel Calvados VSOP,42.42,1.5,63.63
82910,Boulard Calvados Gran Solage,45.21,0.1,4.52
,"Booker ""Fracture"" Syrah 2018",70,8,560
,"Booker ""Oublie"" Rhone Blend",55,4.3,236.5
,Bruno Spatlese Riesling,24,9,216
,Bookers Springfield,73.17,0.5,36.59
,Campari Aperitivo,34.92,0.9,31.43
38083,Canton Ginger Liq,33.58,5,167.9
272414,Casamigos Tequila Anejo,62.58,1.3,81.35
446131,Casamigos Tequila Blanco,54.75,0.8,43.8
446131,Casamigos Tequila Reposado,60.08,1.4,84.11
446127,Chanrion Cote du Brouilly,18.25,6.5,118.63
,"Chartreuse, Green",49.79,2.1,104.56
,"Chartreuse, Yellow",49.79,0.7,34.85
,Chateau Lesseque 'Les Cadrans',20,10.6,212
,Chateau de Pez St Estephe,44.38,6,266.28
,Chateau Vieux Telegraphe CDP,81,3,243
,Chateau Rauzan Segla Margaux,157.67,1,157.67
,Chateau Ducasse Blanc,17.33,4,69.32
,Chambord,31.35,1.9,59.57
,Chopin Vodka,37.38,1.9,71.02
482230,Clase Azul Teq Anejo,414.33,0.3,124.3
,Clase Azul Teq Reposado,144.75,0.4,57.9
122928,Crown Royal,34.5,0.1,3.45
,Cruzan Black Strap,18.75,4.4,82.5
,Dekuyper Blue Curacao,11.38,0.4,4.55
,Dekuyper Pucker Sour Apple,18,0.7,12.6
14983,Del Maguey Crema De Mezcal,35.08,0.3,10.52
894937,Del Maguey Chichicapa,63.33,1.8,113.99
,Del Maguey Vida,35.08,0.4,14.03
291742,Del Maguey  Vida Muerto,42,0.3,12.6
291742,Dolin Vermouth Blanc,14.58,2.8,40.82
298125,Dolin Vermouth Dry,14.58,0,0
298124,Dom Benedictine,39.64,3.8,150.63
28788,Don Julio Teq Anejo,54.25,0.7,37.98
300556,Don Julio 70th Anniv Clara,65,1.1,71.5
,Espolon Blanco,28,5.1,142.8
,Empress 1908 Gin,38,0.3,11.4
482812,Fableist Tempranillo,15,12,180
,Faire la Fete Rose,15,1,15
368579,Faire la Fete Brut,16.25,7,113.75
,Fee Bros Bitters (all flavors),6.93,4,27.72
316902,Ferrand Yuzu Curacao,28.92,0.5,14.46
,Ferrand Dry Curacao,28.92,4.1,118.57
264974,Fortaleza Tequila Anejo,72.55,0.5,36.28
282110,Fortaleza Tequila Blanco,44.05,2,88.1
283132,Fortaleza Tequila Reposado,51.38,2.4,123.31
,Fontbonne herbal liqueur,31,0.9,27.9
283131,Frangelico,32.92,2,65.84
,Grand Marnier,43.54,2.2,95.79
,Grey Goose Vodka,43.71,6.1,266.63
17098,Hartford Court Chard RR,21,1,21
,Henry McKenna Single Barrel,43.99,1.25,54.99
,Hennessy XO,224.75,0.2,44.95
344101,Hennessy VS Cognac ,52.75,2.3,121.33
344101,High West camp fire,71,1.3,92.3
443189,High West Mid winters Dram,102,0,0
443189,High West Prisoners Share,132,0.5,66
,High West Bourbon,27.25,7.25,197.56
443189,High West Wsky Double Rye,27.25,5.2,141.7
443185,High West Barbados Cask,49.17,4.6,226.18
,High West Chardonnay Cask,49.17,3.4,167.18
,Insolito Blanco,36.99,2.3,85.08
,Insolito Reposado,45.39,2.7,122.55
,Insolito Anejo,50.99,0.5,25.5
,Italicus Rosolio Bergamotto,40.08,3.3,132.26
477136,Jameson Irish Whiskey,29.13,2.3,67
24601,Johnnie Walker Black,46.5,0.5,23.25
24672,Johnnie Walker Blue,227,1.1,249.7
402745,Kahlua,27.29,0.25,6.82
,Ketel One Vodka,33.83,11.5,389.05
36126,Knob Creek ,30.83,1.7,52.41
,Knob Creek Rye,32.83,1.7,55.81
986041,Kohana Kokoleka,34,0.4,13.6
,Kohana Koho,48,0.5,24
,Kohana Kea,47.22,2.5,118.05
,Kuleana Nanea,30.22,0.8,24.18
944722,Kuleana Hokulei,34.22,0.5,17.11
944724,Kuleana Huihui,26.22,4.6,120.61
944721,La Jota Merlot Howell Mnt,66.7,4,266.8
,Licor 43,26.53,1.1,29.18
341716,Light House Gin,25,1.9,47.5
,Lillet Blanc,19.41,0.5,9.71
,Lingua Franca Pinot Noir,43,4,172
,Louis Latour Pinot Noir,23.42,0.6,14.05
,Luxardo Bianco,29,1.6,46.4
